,date,sentimentScore
1535,2018-03-16,-0.7275544929509761
1536,2018-03-17,-0.9362524834763071
1537,2018-03-18,-0.7734914316024152
1538,2018-03-19,-0.7235834073786288
1539,2018-03-20,-0.8243830220209957
1540,2018-03-21,-0.7352142444245965
1541,2018-03-22,-0.8671705498234198
1542,2018-03-23,-0.717287722050464
1543,2018-03-24,-0.9440241650469938
1544,2018-03-25,-1.0116945805480193
1545,2018-03-26,-0.8023891200869867
1546,2018-03-27,-0.7275558043326972
1547,2018-03-28,-0.8648657230453192
1548,2018-03-29,-0.792656042317464
1549,2018-03-30,-0.8563142269934733
1550,2018-03-31,-1.0081980547868976
1551,2018-04-01,-1.0612610565524359
1552,2018-04-02,-0.9709127440433274
1553,2018-04-03,-0.8021778023437374
1554,2018-04-04,-0.9103841664449784
1555,2018-04-05,-0.9153265353431872
1556,2018-04-06,-0.9013462003892603
1557,2018-04-07,-1.1317336596342706
1558,2018-04-08,-0.710267780350092
1559,2018-04-09,-0.5577274006606087
1560,2018-04-10,-0.5529898273057853
1561,2018-04-11,-0.5871839668369976
1562,2018-04-12,-0.5020023037979606
1563,2018-04-13,-0.3754625602133197
1564,2018-04-14,-0.5985048334379689
1565,2018-04-15,-0.6470461551700712
1566,2018-04-16,-0.5135402679130318
1567,2018-04-17,-0.4411715472672648
1568,2018-04-18,-0.49711948260793115
1569,2018-04-19,-0.46959937545402336
1570,2018-04-20,-0.4132760042494832
1571,2018-04-21,-0.48133926880821104
1572,2018-04-22,-0.5484312346307312
1573,2018-04-23,-0.3635810739803806
1574,2018-04-24,-0.31306207494736393
1575,2018-04-25,-0.26559489062724045
1576,2018-04-26,-0.31733486878164435
1577,2018-04-27,-0.373773424874045
1578,2018-04-28,-0.5523233596181312
1579,2018-04-29,-0.6345087922507758
1580,2018-04-30,-0.5384508570104648
1581,2018-05-01,-0.5969725220390426
1582,2018-05-02,-0.5085592572556163
1583,2018-05-03,-0.5097671627135637
1584,2018-05-04,-0.3194861534771009
1585,2018-05-05,-0.48345186343847235
1586,2018-05-06,-0.6327788205410144
1587,2018-05-07,-0.4118017468465147
1588,2018-05-08,-0.4317247656002649
1589,2018-05-09,-0.5181006503843528
1590,2018-05-10,-0.537008414214645
1591,2018-05-11,-0.51090823168768
1592,2018-05-12,-0.5158494171454724
1593,2018-05-13,-0.8392560353871145
1594,2018-05-14,-0.6141032346488844
1595,2018-05-15,-0.5102987116395257
1596,2018-05-16,-0.5715408501822572
1597,2018-05-17,-0.49166464751909505
1598,2018-05-18,-0.5093548005677933
1599,2018-05-19,-0.6811916924363034
1600,2018-05-20,-0.8076001073107205
1601,2018-05-21,-0.6085320002445639
1602,2018-05-22,-0.6450072166740797
1603,2018-05-23,-0.5394074250466236
